1,7
2,7
3,7
4,3
5,7
6,6
7,7
8,5
9,7
10,7
11,7
12,5
13,7
14,9
15,6
16,7
17,7
18,6
19,6
20,5
21,6
22,7
23,9
24,7
25,7
26,7
27,5
28,6
29,9
30,7
31,5
32,6
33,8
34,7
35,5
36,8
37,7
38,2
39,7
40,6
41,7
42,7
43,8
44,7
45,7
46,5
47,5
48,7
49,7
50,5
51,6
52,5
53,5
54,7
55,7
56,2
57,1
58,7
59,7
60,1
61,2
62,1
63,5
64,7
65,6
66,5
67,5
68,5
69,1
70,6
71,7
72,5
73,7
74,8
75,6
76,8
77,6
78,7
79,6
80,5
81,1
82,7
83,9
84,7
85,2
86,7
87,7
88,6
89,6
90,6
91,9
92,2
93,5
94,5
95,5
96,7
97,5
98,6
99,7
100,7
101,7
102,5
103,6
104,7
105,7
106,7
107,7
108,7
109,9
110,7
111,8
112,1
113,7
114,7
115,7
116,8
117,9
118,7
119,6
120,7
121,8
122,7
123,5
124,6
125,7
126,6
127,9
128,5
129,5
130,6
131,5
132,5
133,1
134,5
135,5
136,7
137,6
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,7
146,6
147,2
148,5
149,5
150,6
151,4
152,7
153,6
154,9
155,5
156,6
157,7
158,7
159,9
160,9
161,7
162,7
163,7
164,1
165,8
166,1
167,7
168,6
169,7
170,6
171,5
172,7
173,5
174,8
175,8
176,8
177,5
178,7
179,2
180,5
181,8
182,6
183,4
184,7
185,6
186,7
187,7
188,7
189,6
190,7
191,1
192,4
193,6
194,7
195,7
196,2
197,7
198,6
199,5
200,7
201,7
202,7
203,6
204,7
205,1
206,7
207,5
208,1
209,2
210,7
211,7
212,2
213,7
214,7
215,7
216,7
217,5
218,7
219,1
220,5
221,2
222,7
223,7
224,1
225,7
226,7
227,5
228,8
229,6
230,7
231,5
232,7
233,7
234,6
235,7
236,7
237,3
238,7
239,2
240,3
241,6
242,6
243,5
244,7
245,5
246,7
247,7
248,7
249,5
250,9
251,7
252,7
253,7
254,1
255,5
256,7
257,8
258,1
259,1
260,5
261,9
262,7
263,1
264,6
265,7
266,5
267,7
268,4
269,2
270,3
271,7
272,3
273,9
274,7
275,1
276,5
277,8
278,1
279,7
280,5
281,1
282,6
283,5
284,1
285,4
286,6
287,5
288,7
289,7
290,7
291,8
292,5
293,7
294,5
295,6
296,7
297,6
298,9
299,1
300,8
301,7
302,5
303,7
304,7
305,7
306,5
307,5
308,9
309,5
310,6
311,7
312,6
313,7
314,6
315,7
316,7
317,8
318,6
319,5
320,8
321,9
322,7
323,7
324,7
325,7
326,5
327,7
328,7
329,7
330,7
331,8
332,7
333,7
334,7
335,6
336,7
